secura_dual_cestra,Secura Dual Cestra
primary_plated_round,Primary Plated Round
shattered_storm,Shattered Storm
cathode_current,Cathode Current
arcane_steadfast,Arcane Steadfast
lith_d5_relic,Lith D5 Relic
steflos_barrel,Steflos Barrel
steflos_stock,Steflos Stock
steflos_set,Steflos Set
corufell_set,Corufell Set
corufell_handle,Corufell Handle
lith_p7_relic,Lith P7 Relic
arcane_double_back,Arcane Double Back
secondary_kinship,Secondary Kinship
steflos_receiver,Steflos Receiver
merulina_guardian,Merulina Guardian
mesmer_shield,Mesmer Shield
neo_r5_relic,Neo R5 Relic
secondary_encumber,Secondary Encumber
neo_a9_relic,Neo A9 Relic
meso_l2_relic,Meso L2 Relic
axi_m4_relic,Axi M4 Relic
citrines_last_wish_factory_scene,Citrine's Last Wish Factory Scene
corufell_barrel,Corufell Barrel
hildryn_prime_blueprint,Hildryn Prime Blueprint
hildryn_prime_systems_blueprint,Hildryn Prime Systems Blueprint
shade_prime_blueprint,Shade Prime Blueprint
hildryn_prime_set,Hildryn Prime Set
shade_prime_systems,Shade Prime Systems
larkspur_prime_set,Larkspur Prime Set
hildryn_prime_neuroptics_blueprint,Hildryn Prime Neuroptics Blueprint
larkspur_prime_barrel,Larkspur Prime Barrel
shade_prime_cerebrum,Shade Prime Cerebrum
shade_prime_set,Shade Prime Set
larkspur_prime_stock,Larkspur Prime Stock
hildryn_prime_chassis_blueprint,Hildryn Prime Chassis Blueprint
larkspur_prime_receiver,Larkspur Prime Receiver
shade_prime_carapace,Shade Prime Carapace
larkspur_prime_blueprint,Larkspur Prime Blueprint
lith_s15_relic,Lith S15 Relic
meso_n14_relic,Meso N14 Relic
lith_r3_relic,Lith R3 Relic
meso_d7_relic,Meso D7 Relic
axi_h6_relic,Axi H6 Relic
lith_b11_relic,Lith B11 Relic
meso_s12_relic,Meso S12 Relic
lith_h8_relic,Lith H8 Relic
meso_h4_relic,Meso H4 Relic
axi_g10_relic,Axi G10 Relic
axi_a16_relic,Axi A16 Relic
neo_s17_relic,Neo S17 Relic
neo_n22_relic,Neo N22 Relic
axi_b6_relic,Axi B6 Relic
axi_k11_relic,Axi K11 Relic
lith_k10_relic,Lith K10 Relic
neo_l2_relic,Neo L2 Relic
meso_p11_relic,Meso P11 Relic
